Rank,Name,Growth_Rate,Revenue,Industry,Employees,City,State
1,Fuhu,421.48,117900000.0,Consumer Products & Services,104,El Segundo,CA
2,FederalConference.com,248.31,49600000.0,Government Services,51,Dumfries,VA
3,The HCI Group,245.45,25500000.0,Health,132,Jacksonville,FL
4,Bridger,233.08,1900000000.0,Energy,50,Addison,TX
5,DataXu,213.37,87000000.0,Advertising & Marketing,220,Boston,MA
6,MileStone Community Builders,179.38,45700000.0,Real Estate,63,Austin,TX
7,Value Payment Systems,174.04,25500000.0,Financial Services,27,Nashville,TN
8,Emerge Digital Group,170.64,23900000.0,Advertising & Marketing,75,San Francisco,CA
9,Goal Zero,169.81,33100000.0,Consumer Products & Services,97,Bluffdale,UT
10,Yagoozon,166.89,18600000.0,Retail,15,Warwick,RI
11,OBXtek,164.33,29600000.0,Government Services,149,Tysons Corner,VA
12,AdRoll,150.65,34100000.0,Advertising & Marketing,165,San Francisco,CA
13,uBreakiFix,141.02,17000000.0,Retail,250,Orlando,FL
14,Sparc,128.63,21100000.0,Software,160,Charleston,SC
15,LivingSocial,123.33,536000000.0,Consumer Products & Services,4100,Washington,DC
16,Amped Wireless,110.68,14300000.0,Computer Hardware,26,Chino,CA
17,Intelligent Audit,105.73,145000000.0,Logistics & Transportation,15,Rochelle Park,NJ
18,Integrity Funding,104.62,11100000.0,Financial Services,11,Sarasota,FL
19,Vertex Body Sciences,100.1,11800000.0,Food & Beverage,51,columbus,OH
20,BlueKai,92.45,26800000.0,Advertising & Marketing,107,Cupertino,CA
21,Level 11,90.44,9600000.0,IT Services,30,Seattle,WA
22,Patient Conversation Media,87.82,9800000.0,Health,41,Austin,TX
23,Wingspan Portfolio Advisors,87.69,77000000.0,Financial Services,1016,Carrollton,TX
24,Vets First Choice,85.85,14600000.0,Business Products & Services,74,Portland,ME
25,Timberhorn,85.16,13800000.0,IT Services,150,Frisco,TX
26,BeenVerified,84.43,13700000.0,Consumer Products & Services,17,New York,NY
27,Trada,81.01,12600000.0,Advertising & Marketing,75,Boulder,CO
28,Kony,77.86,51100000.0,Software,1100,Orlando,FL
29,OneSource Virtual,73.53,23500000.0,IT Services,260,Irving,TX
30,Sailthru,73.22,8100000.0,Advertising & Marketing,79,New York,NY
31,Innovolt,72.48,8000000.0,Business Products & Services,30,Atlanta,GA
32,Provider Power,72.24,56800000.0,Energy,50,Auburn,ME
33,Zurple,71.12,7700000.0,Software,32,Carlsbad,CA
34,US Logistics,70.87,48300000.0,Logistics & Transportation,10,Cincinnati,OH
35,McAfee Institute,70.63,15000000.0,Education,15,Peoria,IL
36,Now Communications,67.64,7000000.0,Consumer Products & Services,110,Tempe,AZ
37,YellowHammer,67.4,18000000.0,Advertising & Marketing,27,New York,NY
38,Conductor,67.02,7100000.0,Advertising & Marketing,89,New York,NY
39,Intellect Resources,65.54,30000000.0,Health,675,Greensboro,NC
40,Phunware,65.27,8200000.0,Software,92,Austin,TX
41,NSR Solutions,63.92,10100000.0,Government Services,252,Rockville,MD
42,Pangea Properties,62.18,28300000.0,Real Estate,264,Chicago,IL
43,Field Nation,60.31,27700000.0,Business Products & Services,15,Minneapolis,MN
44,The Joint,59.62,7400000.0,Health,14,Scottsdale,AZ
