ICD.Chapter,State,Year,Deaths,Population,Crude.Rate
Certain infectious and parasitic diseases,AL,1999,1092,4430141,24.6
Certain infectious and parasitic diseases,AL,2000,1188,4447100,26.7
Certain infectious and parasitic diseases,AL,2001,1211,4467634,27.1
Certain infectious and parasitic diseases,AL,2002,1215,4480089,27.1
Certain infectious and parasitic diseases,AL,2003,1350,4503491,30
Certain infectious and parasitic diseases,AL,2004,1251,4530729,27.6
Certain infectious and parasitic diseases,AL,2005,1303,4569805,28.5
Certain infectious and parasitic diseases,AL,2006,1312,4628981,28.3
Certain infectious and parasitic diseases,AL,2007,1241,4672840,26.6
Certain infectious and parasitic diseases,AL,2008,1385,4718206,29.4
Certain infectious and parasitic diseases,AL,2009,1381,4757938,29
Certain infectious and parasitic diseases,AL,2010,1358,4779736,28.4
Certain infectious and parasitic diseases,AK,1999,61,624779,9.8
Certain infectious and parasitic diseases,AK,2000,51,626932,8.1
Certain infectious and parasitic diseases,AK,2001,58,633714,9.2
Certain infectious and parasitic diseases,AK,2002,67,642337,10.4
Certain infectious and parasitic diseases,AK,2003,61,648414,9.4
Certain infectious and parasitic diseases,AK,2004,53,659286,8
Certain infectious and parasitic diseases,AK,2005,68,666946,10.2
Certain infectious and parasitic diseases,AK,2006,65,675302,9.6
Certain infectious and parasitic diseases,AK,2007,78,680300,11.5
Certain infectious and parasitic diseases,AK,2008,70,687455,10.2
Certain infectious and parasitic diseases,AK,2009,73,698895,10.4
Certain infectious and parasitic diseases,AK,2010,88,710231,12.4
Certain infectious and parasitic diseases,AZ,1999,789,5023823,15.7
Certain infectious and parasitic diseases,AZ,2000,779,5130632,15.2
Certain infectious and parasitic diseases,AZ,2001,843,5273477,16
Certain infectious and parasitic diseases,AZ,2002,967,5396255,17.9
Certain infectious and parasitic diseases,AZ,2003,1097,5510364,19.9
Certain infectious and parasitic diseases,AZ,2004,1056,5652404,18.7
Certain infectious and parasitic diseases,AZ,2005,1097,5839077,18.8
Certain infectious and parasitic diseases,AZ,2006,1281,6029141,21.2
Certain infectious and parasitic diseases,AZ,2007,1194,6167681,19.4
Certain infectious and parasitic diseases,AZ,2008,1183,6280362,18.8
Certain infectious and parasitic diseases,AZ,2009,1311,6343154,20.7
Certain infectious and parasitic diseases,AZ,2010,1249,6392017,19.5
Certain infectious and parasitic diseases,AR,1999,702,2651860,26.5
Certain infectious and parasitic diseases,AR,2000,636,2673400,23.8
Certain infectious and parasitic diseases,AR,2001,719,2691571,26.7
Certain infectious and parasitic diseases,AR,2002,771,2705927,28.5
Certain infectious and parasitic diseases,AR,2003,768,2724816,28.2
Certain infectious and parasitic diseases,AR,2004,739,2749686,26.9
Certain infectious and parasitic diseases,AR,2005,784,2781097,28.2
Certain infectious and parasitic diseases,AR,2006,747,2821761,26.5
Certain infectious and parasitic diseases,AR,2007,719,2848650,25.2
Certain infectious and parasitic diseases,AR,2008,773,2874554,26.9
Certain infectious and parasitic diseases,AR,2009,786,2896843,27.1
Certain infectious and parasitic diseases,AR,2010,731,2915918,25.1
Certain infectious and parasitic diseases,CA,1999,4443,33499204,13.3
Certain infectious and parasitic diseases,CA,2000,4137,33871648,12.2
Certain infectious and parasitic diseases,CA,2001,4353,34479458,12.6
Certain infectious and parasitic diseases,CA,2002,4559,34871843,13.1
Certain infectious and parasitic diseases,CA,2003,4521,35253159,12.8
Certain infectious and parasitic diseases,CA,2004,4799,35574576,13.5
Certain infectious and parasitic diseases,CA,2005,4897,35827943,13.7
Certain infectious and parasitic diseases,CA,2006,4960,36021202,13.8
Certain infectious and parasitic diseases,CA,2007,4856,36250311,13.4
Certain infectious and parasitic diseases,CA,2008,5085,36604337,13.9
Certain infectious and parasitic diseases,CA,2009,5220,36961229,14.1
Certain infectious and parasitic diseases,CA,2010,5090,37253956,13.7
Certain infectious and parasitic diseases,CO,1999,533,4226018,12.6
Certain infectious and parasitic diseases,CO,2000,533,4301261,12.4
Certain infectious and parasitic diseases,CO,2001,568,4425687,12.8
Certain infectious and parasitic diseases,CO,2002,562,4490406,12.5
Certain infectious and parasitic diseases,CO,2003,676,4528732,14.9
Certain infectious and parasitic diseases,CO,2004,636,4575013,13.9
Certain infectious and parasitic diseases,CO,2005,620,4631888,13.4
Certain infectious and parasitic diseases,CO,2006,643,4720423,13.6
Certain infectious and parasitic diseases,CO,2007,641,4803868,13.3
Certain infectious and parasitic diseases,CO,2008,671,4889730,13.7
Certain infectious and parasitic diseases,CO,2009,748,4972195,15
Certain infectious and parasitic diseases,CO,2010,722,5029196,14.4
Certain infectious and parasitic diseases,CT,1999,845,3386401,25
Certain infectious and parasitic diseases,CT,2000,908,3405565,26.7
Certain infectious and parasitic diseases,CT,2001,897,3432835,26.1
Certain infectious and parasitic diseases,CT,2002,866,3458749,25
Certain infectious and parasitic diseases,CT,2003,983,3484336,28.2
Certain infectious and parasitic diseases,CT,2004,920,3496094,26.3
Certain infectious and parasitic diseases,CT,2005,1002,3506956,28.6
Certain infectious and parasitic diseases,CT,2006,996,3517460,28.3
Certain infectious and parasitic diseases,CT,2007,1055,3527270,29.9
Certain infectious and parasitic diseases,CT,2008,987,3545579,27.8
Certain infectious and parasitic diseases,CT,2009,1013,3561807,28.4
Certain infectious and parasitic diseases,CT,2010,1002,3574097,28
Certain infectious and parasitic diseases,DE,1999,209,774990,27
Certain infectious and parasitic diseases,DE,2000,255,783600,32.5
Certain infectious and parasitic diseases,DE,2001,234,795699,29.4
Certain infectious and parasitic diseases,DE,2002,262,806169,32.5
Certain infectious and parasitic diseases,DE,2003,247,818003,30.2
Certain infectious and parasitic diseases,DE,2004,242,830803,29.1
Certain infectious and parasitic diseases,DE,2005,251,845150,29.7
Certain infectious and parasitic diseases,DE,2006,222,859268,25.8
Certain infectious and parasitic diseases,DE,2007,231,871749,26.5
Certain infectious and parasitic diseases,DE,2008,276,883874,31.2
Certain infectious and parasitic diseases,DE,2009,257,891730,28.8
Certain infectious and parasitic diseases,DE,2010,250,897934,27.8
Certain infectious and parasitic diseases,DC,1999,457,570213,80.1
Certain infectious and parasitic diseases,DC,2000,434,572059,75.9
Certain infectious and parasitic diseases,DC,2001,374,574504,65.1
Certain infectious and parasitic diseases,DC,2002,403,573158,70.3
Certain infectious and parasitic diseases,DC,2003,405,568502,71.2
Certain infectious and parasitic diseases,DC,2004,395,567754,69.6
Certain infectious and parasitic diseases,DC,2005,399,567136,70.4
Certain infectious and parasitic diseases,DC,2006,386,570681,67.6
Certain infectious and parasitic diseases,DC,2007,351,574404,61.1
Certain infectious and parasitic diseases,DC,2008,329,580236,56.7
Certain infectious and parasitic diseases,DC,2009,302,592228,51
Certain infectious and parasitic diseases,DC,2010,258,601723,42.9
Certain infectious and parasitic diseases,FL,1999,4104,15759421,26
Certain infectious and parasitic diseases,FL,2000,4120,15982378,25.8
Certain infectious and parasitic diseases,FL,2001,4357,16356966,26.6
Certain infectious and parasitic diseases,FL,2002,4789,16689370,28.7
Certain infectious and parasitic diseases,FL,2003,4973,17004085,29.2
Certain infectious and parasitic diseases,FL,2004,5133,17415318,29.5
Certain infectious and parasitic diseases,FL,2005,5062,17842038,28.4
Certain infectious and parasitic diseases,FL,2006,5233,18166990,28.8
Certain infectious and parasitic diseases,FL,2007,4864,18367842,26.5
Certain infectious and parasitic diseases,FL,2008,4853,18527305,26.2
Certain infectious and parasitic diseases,FL,2009,4844,18652644,26
Certain infectious and parasitic diseases,FL,2010,4556,18801310,24.2
Certain infectious and parasitic diseases,GA,1999,2264,8045965,28.1
Certain infectious and parasitic diseases,GA,2000,2238,8186453,27.3
Certain infectious and parasitic diseases,GA,2001,2354,8377038,28.1
Certain infectious and parasitic diseases,GA,2002,2386,8508256,28
Certain infectious and parasitic diseases,GA,2003,2420,8622793,28.1
Certain infectious and parasitic diseases,GA,2004,2458,8769252,28
Certain infectious and parasitic diseases,GA,2005,2426,8925922,27.2
Certain infectious and parasitic diseases,GA,2006,2538,9155813,27.7
Certain infectious and parasitic diseases,GA,2007,2535,9349988,27.1
Certain infectious and parasitic diseases,GA,2008,2483,9504843,26.1
Certain infectious and parasitic diseases,GA,2009,2590,9620846,26.9
Certain infectious and parasitic diseases,GA,2010,2438,9687653,25.2
Certain infectious and parasitic diseases,HI,1999,250,1210300,20.7
Certain infectious and parasitic diseases,HI,2000,216,1211537,17.8
Certain infectious and parasitic diseases,HI,2001,241,1225948,19.7
Certain infectious and parasitic diseases,HI,2002,227,1239613,18.3
Certain infectious and parasitic diseases,HI,2003,229,1251154,18.3
Certain infectious and parasitic diseases,HI,2004,286,1273569,22.5
Certain infectious and parasitic diseases,HI,2005,253,1292729,19.6
Certain infectious and parasitic diseases,HI,2006,267,1309731,20.4
Certain infectious and parasitic diseases,HI,2007,249,1315675,18.9
Certain infectious and parasitic diseases,HI,2008,249,1332213,18.7
Certain infectious and parasitic diseases,HI,2009,216,1346717,16
Certain infectious and parasitic diseases,HI,2010,232,1360301,17.1
Certain infectious and parasitic diseases,ID,1999,125,1275674,9.8
Certain infectious and parasitic diseases,ID,2000,123,1293953,9.5
Certain infectious and parasitic diseases,ID,2001,115,1319962,8.7
Certain infectious and parasitic diseases,ID,2002,137,1340372,10.2
Certain infectious and parasitic diseases,ID,2003,124,1363380,9.1
Certain infectious and parasitic diseases,ID,2004,118,1391802,8.5
Certain infectious and parasitic diseases,ID,2005,138,1428241,9.7
Certain infectious and parasitic diseases,ID,2006,171,1468669,11.6
Certain infectious and parasitic diseases,ID,2007,150,1505105,10
Certain infectious and parasitic diseases,ID,2008,167,1534320,10.9
Certain infectious and parasitic diseases,ID,2009,165,1554439,10.6
Certain infectious and parasitic diseases,ID,2010,174,1567582,11.1
Certain infectious and parasitic diseases,IL,1999,2894,12359020,23.4
Certain infectious and parasitic diseases,IL,2000,2836,12419293,22.8
Certain infectious and parasitic diseases,IL,2001,2971,12488445,23.8
Certain infectious and parasitic diseases,IL,2002,3129,12525556,25
Certain infectious and parasitic diseases,IL,2003,3127,12556006,24.9
Certain infectious and parasitic diseases,IL,2004,3084,12589773,24.5
Certain infectious and parasitic diseases,IL,2005,3096,12609903,24.6
Certain infectious and parasitic diseases,IL,2006,3091,12643955,24.4
Certain infectious and parasitic diseases,IL,2007,3200,12695866,25.2
Certain infectious and parasitic diseases,IL,2008,3081,12747038,24.2
Certain infectious and parasitic diseases,IL,2009,3170,12796778,24.8
Certain infectious and parasitic diseases,IL,2010,3117,12830632,24.3
Certain infectious and parasitic diseases,IN,1999,1174,6044969,19.4
Certain infectious and parasitic diseases,IN,2000,1177,6080485,19.4
Certain infectious and parasitic diseases,IN,2001,1164,6127760,19
Certain infectious and parasitic diseases,IN,2002,1220,6155967,19.8
Certain infectious and parasitic diseases,IN,2003,1253,6196638,20.2
Certain infectious and parasitic diseases,IN,2004,1232,6233007,19.8
Certain infectious and parasitic diseases,IN,2005,1298,6278616,20.7
Certain infectious and parasitic diseases,IN,2006,1340,6332669,21.2
Certain infectious and parasitic diseases,IN,2007,1318,6379599,20.7
Certain infectious and parasitic diseases,IN,2008,1386,6424806,21.6
Certain infectious and parasitic diseases,IN,2009,1406,6459325,21.8
Certain infectious and parasitic diseases,IN,2010,1442,6483802,22.2
Certain infectious and parasitic diseases,IA,1999,382,2917634,13.1
Certain infectious and parasitic diseases,IA,2000,371,2926324,12.7
Certain infectious and parasitic diseases,IA,2001,398,2931997,13.6
Certain infectious and parasitic diseases,IA,2002,382,2934234,13
Certain infectious and parasitic diseases,IA,2003,362,2941999,12.3
Certain infectious and parasitic diseases,IA,2004,388,2953635,13.1
Certain infectious and parasitic diseases,IA,2005,360,2964454,12.1
