Site,Date,EnteroCount,FourDayRainTotal,SampleCount
Hudson above Mohawk River,10/16/2011,1733,1.5,35
Hudson above Mohawk River,10/21/2013,4,0.2,35
Hudson above Mohawk River,9/21/2013,20,0,35
Hudson above Mohawk River,8/19/2013,6,0,35
Hudson above Mohawk River,7/21/2013,31,0,35
Hudson above Mohawk River,6/4/2013,238,1.2,35
Hudson above Mohawk River,10/15/2012,23,1.4,35
Hudson above Mohawk River,9/15/2012,11,0.1,35
Hudson above Mohawk River,8/18/2012,15,0.3,35
Hudson above Mohawk River,7/21/2012,6,0.2,35
Hudson above Mohawk River,6/16/2012,10,0.2,35
Hudson above Mohawk River,5/20/2012,11,0,35
Hudson above Mohawk River,6/24/2013,30,1.4,35
Hudson above Mohawk River,9/19/2011,11,0.1,35
Hudson above Mohawk River,8/21/2011,231,0.4,35
Hudson above Mohawk River,7/14/2011,11,0.3,35
Hudson above Mohawk River,7/2/2011,11,2.1,35
Hudson above Mohawk River,5/19/2011,91,1.6,35
Hudson above Mohawk River,10/16/2010,>2420,1.3,35
Hudson above Mohawk River,9/14/2010,15,0,35
Hudson above Mohawk River,8/21/2010,25,0.2,35
Hudson above Mohawk River,7/19/2010,31,0.7,35
Hudson above Mohawk River,5/22/2008,12,0.2,35
Hudson above Mohawk River,5/25/2010,<1,0,35
Hudson above Mohawk River,10/23/2009,4,0,35
Hudson above Mohawk River,9/17/2009,28,0,35
Hudson above Mohawk River,8/24/2009,276,2.8,35
Hudson above Mohawk River,7/31/2009,>2420,1.9,35
Hudson above Mohawk River,5/15/2009,6,0.5,35
Hudson above Mohawk River,10/23/2008,<1,0.3,35
Hudson above Mohawk River,9/18/2008,6,0,35
Hudson above Mohawk River,8/9/2008,41,1.5,35
Hudson above Mohawk River,7/17/2008,15,0.1,35
Hudson above Mohawk River,6/19/2008,12,1.4,35
Hudson above Mohawk River,6/18/2010,23,0.2,35
Mohawk River at Waterford,6/18/2010,479,0.2,35
Mohawk River at Waterford,7/21/2012,>2420,0.2,35
Mohawk River at Waterford,6/19/2008,27,1.4,35
Mohawk River at Waterford,5/22/2008,50,0.2,35
Mohawk River at Waterford,10/21/2013,130,0.2,35
Mohawk River at Waterford,9/21/2013,830,0,35
Mohawk River at Waterford,8/19/2013,1733,0,35
Mohawk River at Waterford,7/21/2013,64,0,35
Mohawk River at Waterford,6/24/2013,1300,1.4,35
Mohawk River at Waterford,6/4/2013,461,1.2,35
Mohawk River at Waterford,10/15/2012,770,1.4,35
Mohawk River at Waterford,9/15/2012,1300,0.1,35
Mohawk River at Waterford,8/18/2012,461,0.3,35
Mohawk River at Waterford,7/17/2008,21,0.1,35
Mohawk River at Waterford,6/16/2012,1023,0.2,35
Mohawk River at Waterford,5/20/2012,238,0,35
Mohawk River at Waterford,10/16/2011,2420,1.5,35
Mohawk River at Waterford,9/19/2011,68,0.1,35
Mohawk River at Waterford,8/21/2011,142,0.4,35
Mohawk River at Waterford,7/14/2011,33,0.3,35
Mohawk River at Waterford,7/2/2011,4,2.1,35
Mohawk River at Waterford,5/19/2011,96,1.6,35
Mohawk River at Waterford,10/16/2010,128,1.3,35
Mohawk River at Waterford,8/9/2008,12,1.5,35
Mohawk River at Waterford,8/21/2010,26,0.2,35
Mohawk River at Waterford,5/25/2010,117,0,35
