index,Agriculture,Business services,Construction,Education and Health,Finance,Government,Information,Leisure and hospitality,Manufacturing,Mining and Extraction,Other,Self-employed,Transportation and Utilities,Wholesale and Retail Trade
0,154,655,745,353,228,430,125,782,734,19,274,239,236,1000
1,173,587,812,349,240,409,112,779,694,25,232,262,223,1023
2,152,623,669,381,226,311,140,789,739,17,247,213,192,983
3,135,517,447,329,197,269,95,658,736,20,240,218,191,793
4,73,561,397,423,195,370,131,675,685,27,254,206,190,821
5,109,545,389,452,216,603,102,833,621,13,225,188,183,837
6,77,636,384,478,190,545,144,786,708,16,202,222,228,792
7,110,584,446,450,213,583,143,675,685,23,187,186,198,853
8,124,559,386,398,187,408,130,636,667,25,220,213,231,791
9,113,504,417,339,224,391,96,691,693,39,161,226,153,739
10,192,547,482,351,184,384,117,694,672,11,217,273,129,701
11,196,564,580,293,200,365,151,639,653,20,167,178,168,715
12,188,734,836,428,232,463,161,806,911,11,197,194,194,908
13,193,724,826,423,235,298,109,821,902,27,243,209,189,990
14,267,652,683,456,211,355,148,817,954,14,200,181,193,1037
15,140,655,596,341,232,369,148,744,855,24,220,216,232,820
16,109,652,478,390,191,361,164,731,903,34,172,206,178,875
17,130,694,443,476,249,525,163,821,956,26,246,187,242,955
18,113,731,447,513,289,548,206,813,1054,17,228,191,236,833
19,141,790,522,595,256,540,210,767,1023,18,241,243,226,928
20,101,810,489,455,268,438,219,900,996,23,225,256,214,936
21,118,910,535,486,281,429,233,903,1065,32,239,247,321,941
22,145,946,670,516,320,420,241,935,1108,20,256,234,302,1046
23,192,921,785,483,258,419,275,938,1172,27,277,249,310,1074
24,195,1120,1211,586,267,486,263,947,1377,33,304,263,368,1212
25,187,973,1060,590,318,508,279,973,1296,35,339,250,331,1264
26,269,964,1009,540,287,477,266,976,1367,28,314,217,313,1269
27,151,951,855,493,292,447,257,953,1322,33,268,255,280,1222
28,89,983,626,533,340,484,260,1022,1194,25,264,264,257,1138
29,89,1079,593,638,373,561,255,1034,1187,35,335,246,274,1240
30,114,1075,594,671,345,645,264,999,1185,19,356,249,270,1132
31,125,926,654,660,343,596,270,884,1108,32,353,271,221,1170
32,92,1007,615,562,299,530,231,885,1076,42,281,266,235,1171
33,97,962,680,517,312,499,211,956,1046,36,272,275,262,1212
34,137,1029,758,493,337,468,220,978,1115,32,284,297,233,1242
35,120,1038,941,558,322,446,255,922,1188,45,241,327,243,1150
36,159,1112,1196,559,327,571,243,1049,1302,54,304,324,331,1342
37,172,1140,1173,576,310,483,321,1145,1229,41,331,304,316,1238
38,161,1190,987,518,357,526,267,1035,1222,46,370,279,319,1179
39,154,1076,772,611,323,440,268,986,1199,41,331,248,274,1201
40,133,1105,715,618,320,478,251,955,1150,40,339,271,260,1247
41,94,1092,710,769,358,704,239,1048,1232,36,359,295,300,1434
42,113,1021,677,697,284,749,224,1020,1193,43,405,270,289,1387
43,173,881,650,760,342,745,224,1050,1186,20,373,302,255,1161
44,98,975,681,649,305,556,248,978,1175,25,338,287,255,1229
45,136,1014,651,639,303,500,182,933,1041,31,378,338,260,1189
46,148,948,690,662,311,542,257,990,1034,34,357,308,275,1156
47,137,948,813,620,283,516,224,885,1025,32,278,299,267,1081
48,184,1070,994,662,403,511,236,1097,1110,31,322,302,243,1389
49,168,964,1039,608,363,490,194,987,1094,24,366,260,291,1369
50,153,999,1011,584,343,530,216,1039,1083,22,366,260,284,1386
51,107,752,849,589,312,433,168,925,1004,34,347,242,239,1248
52,99,819,665,570,302,468,190,977,966,22,310,287,230,1183
53,106,814,668,769,335,580,172,1189,957,27,326,306,227,1182
54,140,790,610,725,307,741,174,965,1019,28,346,291,231,1163
55,103,845,563,647,312,676,191,1010,840,10,341,324,236,1079
56,88,750,629,593,374,568,178,854,852,8,301,362,208,1127
57,102,781,635,526,358,561,185,853,884,15,300,301,219,1138
58,131,872,695,570,290,514,187,916,905,20,294,353,217,1045
59,165,875,870,562,290,499,173,850,872,16,276,341,204,1058
60,153,958,1079,613,252,555,168,993,889,29,290,346,276,1302
61,107,916,1150,619,301,472,204,1008,889,25,325,363,245,1301
62,139,807,961,614,261,468,177,967,879,32,308,312,267,1173
63,84,714,693,591,255,478,178,882,793,19,306,273,257,1131
64,66,730,567,648,288,453,145,944,743,16,314,299,223,1145
65,76,743,559,667,307,681,160,950,743,25,291,268,247,1197
66,69,804,509,635,309,683,142,929,883,22,274,282,222,1194
67,100,728,561,644,300,664,156,844,767,12,306,249,187,1130
68,127,862,572,658,260,568,168,842,775,12,307,282,211,1038
69,85,748,519,628,255,502,162,796,800,2,319,255,251,1050
70,118,711,564,677,268,494,172,966,823,18,300,319,199,1013
71,127,788,813,529,204,393,128,930,757,23,269,327,202,968
72,140,825,868,593,233,457,105,910,778,26,308,341,287,1203
73,139,841,836,528,268,472,119,1040,821,25,281,332,260,1141
74,117,824,820,563,298,461,116,917,701,14,292,300,263,1022
75,81,644,674,558,293,414,132,882,745,17,266,334,272,972
76,79,695,647,543,289,429,158,830,680,20,265,251,226,1025
77,35,753,569,617,299,578,114,942,635,31,265,245,225,1085
78,55,735,633,659,329,659,103,867,736,25,305,291,237,1083
79,76,681,618,611,263,595,132,855,680,32,341,306,217,977
80,78,736,586,576,235,396,170,810,632,14,310,299,183,1008
81,77,768,456,531,211,424,116,795,618,15,268,275,206,972
82,125,658,618,536,229,400,137,836,702,22,306,257,183,1018
83,139,791,725,502,227,395,108,701,660,25,306,287,190,965
84,128,885,922,563,233,476,143,911,752,35,275,376,248,1166
85,127,825,1086,489,295,405,139,879,774,33,257,300,251,1045
86,123,775,924,495,252,419,109,845,742,24,222,311,249,896
87,67,689,853,555,231,408,77,822,749,17,224,240,188,872
88,64,743,676,622,281,428,110,831,651,22,242,276,216,795
89,59,722,600,653,303,572,114,917,653,33,256,258,242,979
90,40,743,617,665,307,704,112,920,621,33,243,324,309,1089
91,54,683,558,648,371,695,140,877,596,33,239,315,205,1028
92,53,655,596,630,316,525,124,892,673,25,257,304,224,1027
93,47,675,641,534,307,492,120,911,729,9,182,338,218,907
94,80,679,645,526,261,482,132,986,762,16,255,336,242,893
95,96,803,968,521,315,451,125,961,772,24,235,326,210,1009
96,113,893,1099,576,285,471,169,1176,837,28,264,338,271,1120
97,135,866,1118,562,323,372,193,1056,820,16,313,340,289,1007
98,175,876,1170,609,323,425,155,944,831,28,283,346,267,992
99,108,736,1057,551,324,373,143,874,796,28,251,338,245,919
100,94,829,809,619,361,461,170,1074,879,28,275,366,269,1049
101,86,890,785,669,337,654,157,1154,862,28,322,364,329,1160
102,125,866,783,776,350,770,141,1172,908,13,352,345,359,1329
103,111,961,814,844,409,721,144,1122,960,17,412,378,309,1366
104,84,951,970,835,380,573,166,1029,984,25,374,414,337,1277
105,97,1052,1078,797,434,552,168,1126,1007,15,334,396,316,1313
106,119,992,1237,748,494,527,173,1283,1144,32,434,411,331,1397
107,229,1147,1438,791,540,511,219,1210,1315,46,367,559,421,1535
108,245,1445,1744,792,571,652,232,1487,1711,59,431,659,522,1794
109,251,1512,2025,847,637,563,224,1477,1822,63,453,586,563,1847
110,241,1597,1979,931,639,598,252,1484,1912,105,377,625,558,1852
111,176,1448,1737,964,561,575,320,1322,1968,125,403,488,541,1833
112,136,1514,1768,1005,536,702,303,1599,2010,98,476,530,506,1835
113,182,1580,1601,1267,513,991,347,1688,2010,100,557,472,499,1863
114,180,1531,1687,1269,570,1129,373,1600,1988,95,490,552,511,1854
115,195,1560,1542,1239,566,1118,358,1636,1866,93,528,569,547,1794
116,150,1596,1594,1257,657,928,362,1469,1876,76,462,636,538,1809
117,166,1488,1744,1280,646,785,261,1604,1884,84,541,610,480,1919
118,180,1514,1780,1168,619,748,243,1524,1882,96,491,592,493,1879
119,292,1486,2044,1183,665,797,256,1624,1747,89,513,609,539,1851
120,318,1614,2194,1175,623,948,313,1804,1918,68,609,730,657,2154
121,285,1740,2440,1200,708,880,300,1597,1814,79,603,680,591,2071
