DATE,Seasonality,Metro,Tier,HPI
1/1/93,NSA,Atlanta,High,72.95
2/1/93,NSA,Atlanta,High,72.42
3/1/93,NSA,Atlanta,High,72.61
4/1/93,NSA,Atlanta,High,73.03
5/1/93,NSA,Atlanta,High,73.6
6/1/93,NSA,Atlanta,High,74.12
7/1/93,NSA,Atlanta,High,74.57
8/1/93,NSA,Atlanta,High,74.84
9/1/93,NSA,Atlanta,High,75.12
10/1/93,NSA,Atlanta,High,75.1
11/1/93,NSA,Atlanta,High,75.05
12/1/93,NSA,Atlanta,High,75.27
1/1/94,NSA,Atlanta,High,75.82
2/1/94,NSA,Atlanta,High,76.22
3/1/94,NSA,Atlanta,High,76.49
4/1/94,NSA,Atlanta,High,76.42
5/1/94,NSA,Atlanta,High,77
6/1/94,NSA,Atlanta,High,77.52
7/1/94,NSA,Atlanta,High,77.83
8/1/94,NSA,Atlanta,High,77.98
9/1/94,NSA,Atlanta,High,77.97
10/1/94,NSA,Atlanta,High,78.37
11/1/94,NSA,Atlanta,High,78.81
12/1/94,NSA,Atlanta,High,79.39
1/1/95,NSA,Atlanta,High,79.53
2/1/95,NSA,Atlanta,High,79.43
3/1/95,NSA,Atlanta,High,79.34
4/1/95,NSA,Atlanta,High,79.29
5/1/95,NSA,Atlanta,High,79.26
6/1/95,NSA,Atlanta,High,79.34
7/1/95,NSA,Atlanta,High,79.81
8/1/95,NSA,Atlanta,High,80.38
9/1/95,NSA,Atlanta,High,80.66
10/1/95,NSA,Atlanta,High,80.75
11/1/95,NSA,Atlanta,High,80.74
12/1/95,NSA,Atlanta,High,81.01
1/1/96,NSA,Atlanta,High,81.42
2/1/96,NSA,Atlanta,High,81.71
3/1/96,NSA,Atlanta,High,81.74
4/1/96,NSA,Atlanta,High,81.95
5/1/96,NSA,Atlanta,High,82.24
6/1/96,NSA,Atlanta,High,82.87
7/1/96,NSA,Atlanta,High,82.95
8/1/96,NSA,Atlanta,High,83.35
9/1/96,NSA,Atlanta,High,83.58
10/1/96,NSA,Atlanta,High,83.83
11/1/96,NSA,Atlanta,High,83.98
12/1/96,NSA,Atlanta,High,83.64
1/1/97,NSA,Atlanta,High,83.76
2/1/97,NSA,Atlanta,High,83.64
3/1/97,NSA,Atlanta,High,84.14
4/1/97,NSA,Atlanta,High,84.68
5/1/97,NSA,Atlanta,High,85.39
6/1/97,NSA,Atlanta,High,85.81
7/1/97,NSA,Atlanta,High,86.07
8/1/97,NSA,Atlanta,High,86.05
9/1/97,NSA,Atlanta,High,86.49
10/1/97,NSA,Atlanta,High,86.74
11/1/97,NSA,Atlanta,High,87.19
12/1/97,NSA,Atlanta,High,87.48
1/1/98,NSA,Atlanta,High,87.79
2/1/98,NSA,Atlanta,High,88.07
3/1/98,NSA,Atlanta,High,88.6
4/1/98,NSA,Atlanta,High,89.58
5/1/98,NSA,Atlanta,High,90.41
6/1/98,NSA,Atlanta,High,91.17
7/1/98,NSA,Atlanta,High,91.22
8/1/98,NSA,Atlanta,High,91.41
9/1/98,NSA,Atlanta,High,91.68
10/1/98,NSA,Atlanta,High,92.43
11/1/98,NSA,Atlanta,High,93.14
12/1/98,NSA,Atlanta,High,93.45
1/1/99,NSA,Atlanta,High,93.9
2/1/99,NSA,Atlanta,High,94.11
3/1/99,NSA,Atlanta,High,94.74
4/1/99,NSA,Atlanta,High,95.3
5/1/99,NSA,Atlanta,High,96.36
6/1/99,NSA,Atlanta,High,97.25
7/1/99,NSA,Atlanta,High,98.02
8/1/99,NSA,Atlanta,High,98.23
9/1/99,NSA,Atlanta,High,98.42
10/1/99,NSA,Atlanta,High,98.93
11/1/99,NSA,Atlanta,High,99.2
12/1/99,NSA,Atlanta,High,99.99
1/1/00,NSA,Atlanta,High,100
2/1/00,NSA,Atlanta,High,101.06
3/1/00,NSA,Atlanta,High,101.21
4/1/00,NSA,Atlanta,High,102.87
5/1/00,NSA,Atlanta,High,103.73
6/1/00,NSA,Atlanta,High,105.02
7/1/00,NSA,Atlanta,High,105.01
8/1/00,NSA,Atlanta,High,105.21
9/1/00,NSA,Atlanta,High,104.99
10/1/00,NSA,Atlanta,High,105.24
11/1/00,NSA,Atlanta,High,105.49
12/1/00,NSA,Atlanta,High,105.64
1/1/01,NSA,Atlanta,High,105.89
2/1/01,NSA,Atlanta,High,106
3/1/01,NSA,Atlanta,High,106.3
4/1/01,NSA,Atlanta,High,107.14
5/1/01,NSA,Atlanta,High,107.89
6/1/01,NSA,Atlanta,High,109.22
7/1/01,NSA,Atlanta,High,109.66
8/1/01,NSA,Atlanta,High,110.25
9/1/01,NSA,Atlanta,High,110.59
10/1/01,NSA,Atlanta,High,110.56
11/1/01,NSA,Atlanta,High,109.96
12/1/01,NSA,Atlanta,High,109.56
1/1/02,NSA,Atlanta,High,109.61
2/1/02,NSA,Atlanta,High,110.03
3/1/02,NSA,Atlanta,High,110.13
4/1/02,NSA,Atlanta,High,110.24
5/1/02,NSA,Atlanta,High,110.95
6/1/02,NSA,Atlanta,High,111.87
7/1/02,NSA,Atlanta,High,112.82
8/1/02,NSA,Atlanta,High,113.18
9/1/02,NSA,Atlanta,High,113.08
10/1/02,NSA,Atlanta,High,113
11/1/02,NSA,Atlanta,High,112.84
12/1/02,NSA,Atlanta,High,112.74
1/1/03,NSA,Atlanta,High,112.87
2/1/03,NSA,Atlanta,High,112.92
3/1/03,NSA,Atlanta,High,113.74
4/1/03,NSA,Atlanta,High,114.18
5/1/03,NSA,Atlanta,High,115.19
6/1/03,NSA,Atlanta,High,115.83
7/1/03,NSA,Atlanta,High,116.41
8/1/03,NSA,Atlanta,High,116.81
9/1/03,NSA,Atlanta,High,117.24
10/1/03,NSA,Atlanta,High,117.05
11/1/03,NSA,Atlanta,High,116.87
12/1/03,NSA,Atlanta,High,116.52
1/1/04,NSA,Atlanta,High,116.68
2/1/04,NSA,Atlanta,High,116.7
3/1/04,NSA,Atlanta,High,117.16
4/1/04,NSA,Atlanta,High,118.57
5/1/04,NSA,Atlanta,High,119.66
6/1/04,NSA,Atlanta,High,120.59
7/1/04,NSA,Atlanta,High,121.55
8/1/04,NSA,Atlanta,High,122.14
9/1/04,NSA,Atlanta,High,122.87
10/1/04,NSA,Atlanta,High,122.59
11/1/04,NSA,Atlanta,High,122.65
12/1/04,NSA,Atlanta,High,122.8
1/1/05,NSA,Atlanta,High,123.14
2/1/05,NSA,Atlanta,High,123.36
3/1/05,NSA,Atlanta,High,123.79
4/1/05,NSA,Atlanta,High,125.32
5/1/05,NSA,Atlanta,High,126.86
6/1/05,NSA,Atlanta,High,128.52
